#FORMAT: BEACON												
#PREFIX: https://d-nb.info/gnd/												
#TARGET: https://www.musikbibliographie.de/REL?PPN=												
#FEED: https://github.com/musikforschung/bms_beacon/blob/main/dmp/beacon_tp.txt								
#LINK: https://www.w3.org/2000/01/rdf-schema#seeAlso												
#CONTACT: Bibliographie des Musikschrifttums <bms@sim.spk-berlin.de>												
#INSTITUTION: Staatliches Institut für Musikforschung Preußischer Kulturbesitz												
#NAME: Bibliographie des Musikschrifttums BMS online												
#MESSAGE: Publikationen von und über (Name Person) in der Bibliographie des Musikschrifttums | Literature by and about (name of person) in the Bibliographie des Musikschrifttums											
#DESCRIPTION: Die Bibliographie des Musikschrifttums (BMS online) verzeichnet internationale, wissenschaftliche Publikationen zur Musik. Dabei werden Bücher, Aufsätze und Rezensionen aus Zeitschriften, Festschriften, Kongreßberichten, Jahrbüchern, Sammelbänden und kritischen Berichten musikalischer Editionen berücksichtigt. In der Liste sind die GND-IDs (Tp1) und die zugehörigen BMS-IDs von Personen verzeichnet, zu denen Literatur in der BMS nachgewiesen sind. Dabei kann die Person sowohl Autor als auch Thema der jeweiligen Publikation sein. | The Bibliographie des Musikschrifttums (BMS online) lists international, scholarly publications on music. Books, essays and reviews from journals, festschrifts, proceedings, yearbooks, anthologies and critical reports of musical editions are considered. This file contains the GND-IDs (Tp1) and the corresponding BMS-IDs of persons for whom literature is indexed in the BMS. The person can be both author and subject of the respective publication.				
#TIMESTAMP: 2025-12-11
#UPDATE: weekly


123639360||008824762
1237449456||008824126
124251927||008819416
119297914||008819025
130367052||008818584
135084024||008817103
135097517||008812586
135231353||008811512
1327133296||008811490
1307242995||00881127X
134573277||008807787
120817268||008807337
116785713||008799369
13010406X||008794928
135451787||008790183
122728505||008789908
122983610||008789894
134898362||008788944
1017855145||008788936
135824486||00878826X
1323926569||008787468
1323769137||008786399
1323768866||008786372
116980834||008783381
1323378782||008782245
1323368116||008782210
1323363742||008782199
135161703||008782156
1323336257||008781885
130590711||008781583
1323224149||008780846
1322777004||008777500
130522031||008772983
121819604||008771707
1073832856||008769273
1052547133||008769265
1063816300||008769184
1169358217||008768781
1321371179||008765901
135342155||00876588X
105232696X||008764875
1253021783||008763267
135248159||008763232
1234410761||00876302X
1320966500||008762007
13526930X||008760306
134413393||008760292
134539354||008760276
143126393||008759928
103789340||008759413
132133954||008758093
103812121||008758042
134965833||00875800X
1132277884||008753202
130250481||008750114
1168240905||008748551
134786971||008747318
124396941||008746257
134349091||008744793
140919732||008743150
11895850X||008741107
13282499X||008739722
141560630||008739501
1250358949||008733678
1045975990||00873013X
1190055066||008728437
131620932||008726566
1286080797||008726183
119043572||008725152
1176065017||008725098
119078821||008723478
1153062992||008723362
1214249914||008721475
1132272718||008720975
1020123516||008720762
134763807||008718695
135293715||008718334
135325404||00871830X
107316800X||008718245
138047634||008718237
134574362||008716668
134381033||008716609
11917877X||008716587
130581135||008716110
140533028||008715696
103824499||00871441X
135016142||008712875
135343577||008712824
